id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Ian,Mitte,Brunnenstr. SÃ_d,52.53454,13.40256,Entire home/apt,60,6,122,30/01/19,3.45,7,212
2695,Prenzlauer Berg close to Mauerpark,2986,Michael,Pankow,Prenzlauer Berg Nordwest,52.54851,13.40455,Private room,17,5,6,01/10/18,0.73,1,20
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg SÃ_dwest,52.535,13.41758,Entire home/apt,90,62,144,29/10/18,1.22,1,257
7071,BrightRoom with sunny greenview!,17391,Bright,Pankow,Helmholtzplatz,52.54316,13.41509,Private room,33,2,215,01/03/19,1.85,2,48
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg SÃ_dwest,52.53303,13.41605,Entire home/apt,180,6,6,23/07/18,0.14,1,22
14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54785,13.40556,Entire home/apt,70,90,23,01/11/18,0.22,4,250
16401,APARTMENT TO RENT,59666,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.51051,13.45785,Private room,120,30,0,,,1,365
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50479,13.4351,Entire home/apt,90,60,48,14/12/17,0.45,2,128
17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),68997,Matthias,NeukÃ¶lln,ReuterstraÃŸe,52.49548,13.42182,Entire home/apt,49,4,231,04/03/19,2.1,1,202
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg SÃ_dwest,52.53695,13.40762,Entire home/apt,129,3,59,17/02/19,0.75,1,123
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50273,13.43462,Entire home/apt,70,60,60,05/06/16,0.58,2,66
22415,Stylishly furnished 3 room flat,86068,Kiki,Friedrichshain-Kreuzberg,sÃ_dliche Luisenstadt,52.49485,13.4285,Entire home/apt,98,3,64,24/02/19,0.6,1,114
22677,Prenzel garden with leafy terrace (quiet Guests),87357,Ramfis,Mitte,Brunnenstr. SÃ_d,52.53435,13.40558,Entire home/apt,160,3,238,02/03/19,2.32,1,191
